"region","year","min_percent_canopy_density","loss_ha","gain_ha"
"Amazonas",2000,10,0,0
"Amazonas",2000,15,0,0
"Amazonas",2000,20,0,0
"Amazonas",2000,25,0,0
"Amazonas",2000,30,0,0
"Amazonas",2000,50,0,0
"Amazonas",2000,75,0,0
"Amazonas",2001,10,3467,479.25
"Amazonas",2001,15,3464,479.25
"Amazonas",2001,20,3457,479.25
"Amazonas",2001,25,3454,479.25
"Amazonas",2001,30,3449,479.25
"Amazonas",2001,50,3344,479.25
"Amazonas",2001,75,3097,479.25
"Amazonas",2002,10,3528,479.25
"Amazonas",2002,15,3527,479.25
"Amazonas",2002,20,3526,479.25
"Amazonas",2002,25,3525,479.25
"Amazonas",2002,30,3523,479.25
"Amazonas",2002,50,3496,479.25
"Amazonas",2002,75,3412,479.25
"Amazonas",2003,10,4291,479.25
"Amazonas",2003,15,4289,479.25
"Amazonas",2003,20,4286,479.25
"Amazonas",2003,25,4282,479.25
"Amazonas",2003,30,4278,479.25
"Amazonas",2003,50,4219,479.25
"Amazonas",2003,75,4043,479.25
"Amazonas",2004,10,3651,479.25
"Amazonas",2004,15,3649,479.25
"Amazonas",2004,20,3645,479.25
"Amazonas",2004,25,3644,479.25
"Amazonas",2004,30,3642,479.25
"Amazonas",2004,50,3608,479.25
"Amazonas",2004,75,3466,479.25
"Amazonas",2005,10,3832,479.25
"Amazonas",2005,15,3831,479.25
"Amazonas",2005,20,3829,479.25
"Amazonas",2005,25,3828,479.25
"Amazonas",2005,30,3825,479.25
"Amazonas",2005,50,3790,479.25
"Amazonas",2005,75,3675,479.25
"Amazonas",2006,10,4291,479.25
"Amazonas",2006,15,4286,479.25
"Amazonas",2006,20,4282,479.25
"Amazonas",2006,25,4279,479.25
"Amazonas",2006,30,4275,479.25
"Amazonas",2006,50,4195,479.25
"Amazonas",2006,75,3983,479.25
"Amazonas",2007,10,5548,479.25
"Amazonas",2007,15,5546,479.25
"Amazonas",2007,20,5543,479.25
"Amazonas",2007,25,5541,479.25
"Amazonas",2007,30,5539,479.25
"Amazonas",2007,50,5500,479.25
"Amazonas",2007,75,5358,479.25
"Amazonas",2008,10,3236,479.25
"Amazonas",2008,15,3235,479.25
"Amazonas",2008,20,3232,479.25
"Amazonas",2008,25,3230,479.25
"Amazonas",2008,30,3228,479.25
"Amazonas",2008,50,3191,479.25
"Amazonas",2008,75,3081,479.25
"Amazonas",2009,10,5917,479.25
"Amazonas",2009,15,5913,479.25
"Amazonas",2009,20,5908,479.25
"Amazonas",2009,25,5903,479.25
"Amazonas",2009,30,5897,479.25
"Amazonas",2009,50,5796,479.25
"Amazonas",2009,75,5538,479.25
"Amazonas",2010,10,4414,479.25
"Amazonas",2010,15,4410,479.25
"Amazonas",2010,20,4406,479.25
"Amazonas",2010,25,4404,479.25
"Amazonas",2010,30,4400,479.25
"Amazonas",2010,50,4344,479.25
"Amazonas",2010,75,4184,479.25
"Amazonas",2011,10,3571,479.25
"Amazonas",2011,15,3569,479.25
"Amazonas",2011,20,3566,479.25
"Amazonas",2011,25,3565,479.25
"Amazonas",2011,30,3562,479.25
"Amazonas",2011,50,3517,479.25
"Amazonas",2011,75,3396,479.25
"Amazonas",2012,10,8203,479.25
"Amazonas",2012,15,8197,479.25
"Amazonas",2012,20,8191,479.25
"Amazonas",2012,25,8188,479.25
"Amazonas",2012,30,8182,479.25
"Amazonas",2012,50,8091,479.25
"Amazonas",2012,75,7751,479.25
"Ancash",2000,10,0,0
"Ancash",2000,15,0,0
"Ancash",2000,20,0,0
"Ancash",2000,25,0,0
"Ancash",2000,30,0,0
"Ancash",2000,50,0,0
"Ancash",2000,75,0,0
"Ancash",2001,10,116,37.75
"Ancash",2001,15,113,37.75
"Ancash",2001,20,110,37.75
"Ancash",2001,25,109,37.75
"Ancash",2001,30,106,37.75
"Ancash",2001,50,88,37.75
"Ancash",2001,75,63,37.75
"Ancash",2002,10,35,37.75
"Ancash",2002,15,34,37.75
"Ancash",2002,20,34,37.75
"Ancash",2002,25,34,37.75
"Ancash",2002,30,33,37.75
"Ancash",2002,50,28,37.75
"Ancash",2002,75,19,37.75
"Ancash",2003,10,28,37.75
"Ancash",2003,15,27,37.75
"Ancash",2003,20,26,37.75
"Ancash",2003,25,26,37.75
"Ancash",2003,30,26,37.75
"Ancash",2003,50,21,37.75
"Ancash",2003,75,15,37.75
"Ancash",2004,10,46,37.75
"Ancash",2004,15,45,37.75
"Ancash",2004,20,44,37.75
"Ancash",2004,25,43,37.75
"Ancash",2004,30,43,37.75
